Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,526.049988,534.909973,522.239990,532.280029,532.280029,3885800
2021-07-20,526.070007,536.640015,520.299988,531.049988,531.049988,6930400
2021-07-21,526.130005,530.989990,505.609985,513.630005,513.630005,11906800
2021-07-22,510.209991,513.679993,507.000000,511.769989,511.769989,4328100
2021-07-23,512.159973,517.409973,504.660004,515.409973,515.409973,3820500
2021-07-26,514.380005,521.130005,509.010010,516.489990,516.489990,2254500
2021-07-27,518.080017,521.950012,512.049988,518.909973,518.909973,2759000
2021-07-28,521.820007,524.469971,516.979980,519.299988,519.299988,2390500
2021-07-29,519.960022,520.780029,513.789978,514.250000,514.250000,1736000
2021-07-30,512.690002,519.789978,510.959991,517.570007,517.570007,2534900
2021-08-02,519.000000,519.849976,510.510010,515.150024,515.150024,2096600
2021-08-03,514.390015,515.630005,505.369995,510.820007,510.820007,2579400
2021-08-04,513.000000,517.979980,510.369995,517.349976,517.349976,2039400
2021-08-05,517.130005,525.409973,514.020020,524.890015,524.890015,2556700
2021-08-06,524.000000,526.840027,519.390015,520.549988,520.549988,1919400
2021-08-09,521.150024,522.669983,517.989990,519.969971,519.969971,1367800
2021-08-10,520.000000,520.789978,512.969971,515.840027,515.840027,1960500
2021-08-11,517.000000,519.570007,509.769989,512.400024,512.400024,1673900
2021-08-12,511.859985,513.000000,507.200012,510.720001,510.720001,1685700
2021-08-13,512.640015,521.440002,511.510010,515.919983,515.919983,2176300
2021-08-16,515.239990,523.380005,512.299988,517.919983,517.919983,2032800
2021-08-17,515.469971,520.789978,514.200012,518.909973,518.909973,2309800
2021-08-18,520.000000,526.380005,518.650024,521.869995,521.869995,2582000
2021-08-19,522.739990,548.390015,521.869995,543.710022,543.710022,7497300
2021-08-20,545.090027,551.390015,539.099976,546.880005,546.880005,3774300
2021-08-23,545.979980,555.549988,543.739990,553.330017,553.330017,2602000
2021-08-24,551.479980,555.309998,549.270020,553.409973,553.409973,2109500
2021-08-25,550.159973,552.840027,545.450012,547.580017,547.580017,2065600
2021-08-26,546.159973,552.599976,545.900024,550.119995,550.119995,1595500
2021-08-27,551.599976,564.169983,549.250000,558.919983,558.919983,3251100
2021-08-30,557.250000,567.159973,556.450012,566.179993,566.179993,2434800
2021-08-31,566.119995,569.479980,561.609985,569.190002,569.190002,2431900
2021-09-01,569.000000,591.000000,569.000000,582.070007,582.070007,5626200
2021-09-02,583.679993,598.760010,583.679993,588.549988,588.549988,6179900
2021-09-03,585.799988,591.880005,583.140015,590.530029,590.530029,2681200
2021-09-07,594.690002,613.849976,593.989990,606.710022,606.710022,5821400
2021-09-08,603.840027,615.599976,595.710022,606.049988,606.049988,5424500
2021-09-09,606.469971,609.440002,596.549988,597.539978,597.539978,2954200
2021-09-10,598.159973,609.450012,593.669983,598.719971,598.719971,3948000
2021-09-13,598.570007,598.570007,582.780029,589.289978,589.289978,3062900
2021-09-14,584.890015,587.280029,575.559998,577.760010,577.760010,3457000
2021-09-15,578.169983,584.619995,575.369995,582.869995,582.869995,2755600
2021-09-16,584.299988,587.479980,577.719971,586.500000,586.500000,1832000
2021-09-17,587.849976,590.280029,580.849976,589.349976,589.349976,4145100
2021-09-20,586.789978,591.530029,568.080017,575.429993,575.429993,3732200
2021-09-21,578.309998,581.880005,569.369995,573.140015,573.140015,2250900
2021-09-22,579.690002,595.650024,579.690002,590.650024,590.650024,4021800
2021-09-23,590.789978,599.320007,589.130005,593.260010,593.260010,2526200
2021-09-24,592.500000,592.979980,583.640015,592.390015,592.390015,2126200
2021-09-27,587.950012,593.580017,576.929993,592.640015,592.640015,2504700
2021-09-28,589.000000,599.539978,580.159973,583.849976,583.849976,4431100
2021-09-29,589.010010,609.880005,588.010010,599.059998,599.059998,6221000
2021-09-30,608.049988,619.000000,608.049988,610.340027,610.340027,6612600
2021-10-01,604.239990,614.989990,597.510010,613.150024,613.150024,4090800
2021-10-04,613.390015,626.130005,594.679993,603.349976,603.349976,4995900
2021-10-05,606.940002,640.390015,606.890015,634.809998,634.809998,9534300
2021-10-06,628.179993,639.869995,626.359985,639.099976,639.099976,4580400
2021-10-07,642.229980,646.840027,630.450012,631.849976,631.849976,3556900
2021-10-08,634.169983,643.799988,630.859985,632.659973,632.659973,3271100
2021-10-11,633.200012,639.419983,626.780029,627.039978,627.039978,2862500
2021-10-12,633.020020,637.659973,621.989990,624.940002,624.940002,3227300
2021-10-13,632.179993,632.179993,622.099976,629.760010,629.760010,2420300
2021-10-14,632.229980,636.880005,626.789978,633.799988,633.799988,2671700
2021-10-15,638.000000,639.419983,625.159973,628.289978,628.289978,4114400
